,Unnamed:_0,Unnamed:_0,placename,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens,longitude,latitude
180,180,180,Dunfermline,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.4666666522666667,0.06645092233500698,0.01,0.01,0.5540540533966398,0.4166666666666667,0.01,0.01,0.01,0.3023255815900487,0.6000000024000001,0.35000000135,0.01,0.01,0.2,0.22131438425078487,0.01,0.01,0.01,0.01,-3.452151,56.07174000000001
181,181,181,Perth,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.5833333333333334,0.01,0.01,0.01,0.2325581422606815,0.01,0.35000000135,0.01,0.01,0.15,0.32233310705150736,0.01,0.01,0.01,0.01,-3.4308381000000003,56.39499
182,182,182,Prestatyn,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.01,0.01,0.20689654882758612,0.01,0.01,0.01,0.01,0.6864937024959693,0.01,0.01,0.01,0.01,-3.4076129999999996,53.33651
183,183,183,Builth Wells,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.48148148,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-3.4045919999999996,52.15002
184,184,184,Braemar,0.01,0.01,0.01,0.01,0.01,0.2770935920610485,0.27586206979310346,0.06874232272620405,0.01,0.01,0.7409133275872143,0.54597701,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.12068965599999999,0.3599247814966117,0.01,0.01,0.01,0.01,-3.3979439,57.00646999999999
185,185,185,Brecon,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.5370370366666667,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.579088831779666,0.01,0.01,0.01,0.01,-3.391463,51.94895
186,186,186,Merthyr Tydfil,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.4259259266666667,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6295982689440316,0.01,0.01,0.01,0.01,-3.381646,51.74873
187,187,187,Llandrindod Wells,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.4000000047999999,0.1329018327088489,0.01,0.01,0.01,0.6111111100000001,0.01,0.01,0.16111112222777765,0.01,0.8000000072000001,0.35000000135,0.01,0.01,0.01,0.4612336804334913,0.01,0.01,0.01,0.01,-3.377742,52.2417
188,188,188,Corwen,0.01,0.01,0.01,0.5,0.01,0.01,0.13559323091525416,0.01,0.01,0.01,0.01,0.4708097933333334,0.01,0.01,0.16384182019774,0.01,0.4745762778983051,0.05084746205084747,0.01,0.01,0.01,0.6490029457044839,0.01,0.01,0.01,0.01,-3.369242,52.98005
189,189,189,Cockermouth,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.5405405388312636,0.17592592666666668,0.01,0.01,0.01,0.41860465272038944,0.0999999964,0.15000000315,0.01,0.01,0.305555556,0.35600596414241203,0.01,0.01,0.01,0.01,-3.367985,54.66326
190,190,190,Lockerbie,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.01,0.19935275504385586,0.01,0.01,0.7432432427173118,0.20370370333333326,0.01,0.01,0.01,0.09302325522985397,0.01,0.15000000315,0.01,0.01,0.327777778,0.32233310705150736,0.01,0.01,0.01,0.01,-3.349008,55.12224000000001
191,191,191,Blairgowrie,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.5833333333333334,0.01,0.01,0.01,0.13953488703082748,0.01,0.35000000135,0.01,0.01,0.127777778,0.35600596414241203,0.01,0.01,0.01,0.01,-3.3378318,56.58941
192,192,192,Elgin,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.6570363439847862,0.3352490433333334,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.22413793199999998,0.3947587977161697,0.01,0.01,0.01,0.01,-3.318485,57.64945
193,193,193,Newtown,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.19935275504385586,0.01,0.01,0.01,0.51851852,0.01,0.01,0.16111112222777765,0.01,0.8666666674666668,0.19999999820000008,0.01,0.01,0.01,0.5285795461433092,0.01,0.01,0.01,0.01,-3.313106,52.51211
194,194,194,Ruthin,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5747126433333334,0.01,0.01,0.01,0.01,0.20689654882758612,0.01,0.01,0.01,0.01,0.6603683039773072,0.01,0.01,0.01,0.01,-3.3103108,53.114869999999996
195,195,195,Ruthin,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5747126433333334,0.01,0.01,0.01,0.01,0.20689654882758612,0.01,0.01,0.01,0.01,0.6603683039773072,0.01,0.01,0.01,0.01,-3.3103108,53.114869999999996
196,196,196,Sidmouth,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.27777777666666664,0.01,0.01,0.01,0.01,0.01,0.15000000315,0.01,0.01,0.01,0.696943983125841,0.01,0.01,1.0,0.01,-3.2375599999999998,50.67865
197,197,197,Barrow-in-Furness,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.5405405388312636,0.23148148000000004,0.01,0.01,0.01,0.41860465272038944,0.0999999964,0.01,0.01,0.01,0.13888888800000002,0.4822792539973089,0.01,0.01,0.01,0.01,-3.2188939999999997,54.10896999999999
198,198,198,Peebles,0.01,0.01,0.01,0.01,0.01,0.6696428648915818,0.19999999040000005,0.06645092233500698,0.01,0.01,0.7162162135865594,0.43518518666666667,0.01,0.01,0.01,0.3023255815900487,0.6000000024000001,0.19999999820000008,0.01,0.01,0.3,0.10345923290461012,0.01,0.01,0.01,0.01,-3.1936419999999996,55.65306999999999
199,199,199,Edinburgh,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.4666666522666667,0.06645092233500698,0.01,0.01,0.6351351359240319,0.5277777766666668,0.01,0.01,0.01,0.3023255815900487,0.6000000024000001,0.5000000045,0.01,0.01,0.2,0.12029566145006255,0.01,0.01,0.01,0.01,-3.1882669999999997,55.95325
200,200,200,Cardiff,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.3148148133333333,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6801075545803886,0.01,0.01,0.01,0.01,-3.17909,51.48158
201,201,201,Llangollen,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.1379310228965518,0.01,0.01,0.01,0.01,0.4789272033333333,0.01,0.01,0.16666665216666682,0.01,0.4827586219310345,0.05172413405172414,0.01,0.01,0.01,0.6429512201035239,0.01,0.01,0.01,0.01,-3.1716599999999997,52.96921
202,202,202,Kirkcaldy,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.6388888899999999,0.01,0.01,0.01,0.2325581422606815,0.6000000024000001,0.35000000135,0.01,0.01,0.183333334,0.19605966566860228,0.01,0.01,0.01,0.01,-3.158137,56.11682
203,203,203,Welshpool,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.19935275504385586,0.01,0.01,0.01,0.4074074066666665,0.26761626532798616,0.01,0.16111112222777765,0.01,0.4666666698666666,0.19999999820000008,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-3.146407,52.66035
204,204,204,Mold,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4597701133333334,0.01,0.01,0.01,0.01,0.20689654882758612,0.01,0.01,0.01,0.01,0.71261925254264,0.01,0.01,0.01,0.01,-3.1419029999999997,53.1672
205,205,205,Mold,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4597701133333334,0.01,0.01,0.01,0.01,0.20689654882758612,0.01,0.01,0.01,0.01,0.71261925254264,0.01,0.01,0.01,0.01,-3.1419029999999997,53.1672
206,206,206,Taunton,0.01,0.01,0.01,0.01,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.24074074,0.01,0.01,0.01,0.01,0.01,0.15000000315,0.01,0.01,0.01,0.7390351302534759,0.01,0.01,1.0,0.01,-3.106849,51.01534
207,207,207,Wick,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.6570363439847862,0.22030651333333331,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.293103448,0.3947587977161697,0.01,0.01,0.01,0.01,-3.093716,58.43894
208,208,208,John o' Groats,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.6570363439847862,0.22030651333333331,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.327586206,0.3686332476694993,0.01,0.01,0.01,0.01,-3.0688997000000002,58.63734
209,209,209,Dalkeith,0.01,0.01,0.01,0.01,0.01,0.4017857157206633,0.19999999040000005,0.06645092233500698,0.01,0.01,0.6351351359240319,0.3796296300000001,0.01,0.01,0.01,0.3023255815900487,0.6000000024000001,0.5000000045,0.01,0.01,0.3,0.12871395148679282,0.01,0.01,0.01,0.01,-3.066606,55.893119999999996
210,210,210,Oswestry,0.01,0.01,0.01,0.5,0.01,0.01,0.13559323091525416,0.01,0.01,0.01,0.01,0.4708097933333334,0.2721520389786224,0.01,0.16384182019774,0.01,0.4745762778983051,0.05084746205084747,0.01,0.01,0.01,0.6233201604984665,0.01,0.01,0.01,0.01,-3.056412,52.85715
211,211,211,Blackpool,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.2432432427173119,0.36111111,0.01,0.01,0.3222222154555557,0.27906976568956193,0.2333333289333333,0.01,0.01,0.01,0.05,0.5748796867613011,0.01,0.01,0.01,0.01,-3.0356748,53.81751
212,212,212,Birkenhead,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.4137930926896552,0.01,0.01,0.01,0.01,0.2873563233333333,0.01,0.01,0.8333333188333335,0.01,0.13793103655172415,0.01,0.01,0.01,0.01,0.7300363364164231,0.01,0.01,0.01,0.01,-3.023009,53.389990000000004
213,213,213,Cupar,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.5833333333333334,0.01,0.01,0.01,0.13953488703082748,0.6000000024000001,0.050000004050000005,0.01,0.01,0.127777778,0.3307512455602294,0.01,0.01,0.01,0.01,-3.010137,56.32023
214,214,214,Southport,0.01,0.01,0.01,0.2500000073750001,0.01,0.01,0.40677966874576266,0.01,0.01,0.01,0.04122766693788612,0.36723164,0.01,0.01,0.8192090429887005,0.01,0.13559322054237288,0.01,0.01,0.01,0.050847458,0.6704052162001625,0.01,0.01,0.01,0.01,-3.010113,53.64571
215,215,215,Bridgwater,0.01,0.01,0.01,0.01,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.2962962966666667,0.01,0.01,0.01,0.01,0.13333333253333335,0.25000000225,0.01,0.01,0.01,0.7053622731625712,0.01,0.01,0.01,0.01,-3.003632,51.12789
216,216,216,Langholm,0.01,0.01,0.01,0.01,0.01,0.1785714274234694,0.7999999856000001,0.01,0.01,0.01,0.5945945922279035,0.09259259333333332,0.01,0.01,0.01,0.13953488703082748,0.3999999976,0.15000000315,0.01,0.01,0.355555556,0.3349603905785945,0.01,0.01,0.01,0.01,-2.998913,55.153059999999996
217,217,217,Newport,0.01,0.01,0.01,0.01,0.01,0.01,0.2666666618666667,0.1329018327088489,0.01,0.01,0.01,0.3148148133333333,0.01,0.01,0.01,0.01,0.5333333301333334,0.4500000004500001,0.01,0.01,0.01,0.6801075545803886,0.01,0.01,0.01,0.01,-2.997664,51.58415
218,218,218,Axminster,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.22222222333333333,0.01,0.01,0.01,0.01,0.01,0.15000000315,0.01,1.0,0.01,0.6548528359982059,0.01,0.01,1.0,0.01,-2.9949369999999997,50.78273
219,219,219,Wrexham,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3954802266666667,0.01,0.01,0.01,0.01,0.20338983681355932,0.01,0.01,0.01,0.01,0.7431729055798671,0.01,0.01,0.01,0.01,-2.9924939999999998,53.04304000000001
220,220,220,Liverpool,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.4137930926896552,0.01,0.01,0.01,0.01,0.2873563233333333,0.01,0.01,0.8333333188333335,0.01,0.13793103655172415,0.01,0.01,0.01,0.01,0.7300363364164231,0.01,0.01,0.01,0.01,-2.9915726,53.40837
221,221,221,Weston-super-Mare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33333333333333337,0.01,0.01,0.01,0.01,0.01,0.15000000315,0.01,0.01,0.01,0.8232172729807379,0.01,0.01,0.01,0.01,-2.977255,51.347409999999996
222,222,222,Dundee,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.5833333333333334,0.01,0.01,0.01,0.13953488703082748,0.6000000024000001,0.050000004050000005,0.01,0.01,0.127777778,0.3307512455602294,0.01,0.01,0.01,0.01,-2.9707209999999997,56.462019999999995
223,223,223,Kirkwall,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.6570363439847862,0.22030651333333331,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.396551724,0.3163822991041664,0.01,0.01,0.01,0.01,-2.9622491,58.984669999999994
224,224,224,Ambleside,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.1329018327088489,1.0,0.01,0.5405405388312636,0.21296296333333334,0.01,0.01,0.01,0.41860465272038944,0.2333333289333333,0.01,0.01,0.01,0.161111112,0.4401882583976822,0.01,0.01,0.01,0.01,-2.961333,54.42874000000001
225,225,225,Orkney Islands,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.6570363439847862,0.22030651333333331,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.396551724,0.3163822991041664,0.01,0.01,0.01,0.01,-2.9605206,58.980940000000004
226,226,226,Lyme Regis,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.2666666618666667,0.01,0.01,0.01,0.01,0.18518518666666667,0.01,0.01,0.01,0.01,0.01,0.15000000315,0.01,1.0,0.01,0.7053622731625712,0.01,0.01,1.0,0.01,-2.936639,50.725159999999995
227,227,227,Carlisle,0.01,0.01,0.01,0.01,0.01,0.1785714274234694,0.7999999856000001,0.29902912658520125,0.01,0.01,0.7567567572826879,0.055555556666666665,0.01,0.01,0.01,1.0,0.0999999964,0.050000004050000005,0.01,0.01,0.305555556,0.20026881068696736,0.01,0.01,0.01,0.01,-2.932931,54.892469999999996
228,228,228,Chester,0.01,0.01,0.01,0.5086206965215518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5172413800000001,0.01,0.01,0.33333333333333337,0.01,0.34482758537931035,0.01,0.01,0.01,0.01,0.6516596862764114,0.01,0.01,0.01,0.01,-2.893075,53.19339
229,229,229,Forfar,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.2666666618666667,0.06645092233500698,0.01,0.01,0.8378378349452152,0.5,0.01,0.01,0.01,0.13953488703082748,0.01,0.050000004050000005,0.01,0.01,0.177777778,0.2928692434509595,0.01,0.01,0.01,0.01,-2.889062,56.64356
230,230,230,Morecambe,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.3243243252447041,0.4537037033333334,0.01,0.01,0.01,0.41860465272038944,0.2333333289333333,0.01,0.01,0.01,0.05,0.4991156825427613,0.01,0.01,0.01,0.01,-2.864968,54.074169999999995
231,231,231,Selkirk,0.01,0.01,0.01,0.01,0.01,0.4464285765943878,0.19999999040000005,0.06645092233500698,0.01,0.01,0.4864864854346238,0.3240740733333333,0.01,0.01,0.01,0.2325581422606815,0.6000000024000001,0.19999999820000008,0.01,0.01,0.35,0.22131438425078487,0.01,0.01,0.01,0.01,-2.838524,55.55066
232,232,232,Galashiels,0.01,0.01,0.01,0.01,0.01,0.4464285765943878,0.19999999040000005,0.06645092233500698,0.01,0.01,0.4864864854346238,0.3796296300000001,0.01,0.01,0.01,0.2325581422606815,0.6000000024000001,0.19999999820000008,0.01,0.01,0.35,0.19605966566860228,0.01,0.01,0.01,0.01,-2.814449,55.62373
233,233,233,Lancaster,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.3243243252447041,0.4537037033333334,0.01,0.01,0.01,0.41860465272038944,0.2333333289333333,0.01,0.01,0.01,0.05,0.4991156825427613,0.01,0.01,0.01,0.01,-2.8007399,54.046569999999996
234,234,234,St Andrews,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.4324324320379839,0.5833333333333334,0.01,0.01,0.01,0.13953488703082748,0.6000000024000001,0.050000004050000005,0.01,0.01,0.127777778,0.3307512455602294,0.01,0.01,0.01,0.01,-2.7967214,56.33978000000001
235,235,235,Hawick,0.01,0.01,0.01,0.01,0.01,0.1785714274234694,0.19999999040000005,0.19935275504385586,0.01,0.01,0.4594594563038714,0.36111111,0.01,0.01,0.01,0.09302325522985397,0.6000000024000001,0.15000000315,0.01,0.01,0.305555556,0.2886602499606026,0.01,0.01,0.01,0.01,-2.780914,55.42706
236,236,236,Bridport,0.01,0.01,0.01,0.01,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.22222222333333333,0.01,0.01,0.01,0.01,0.01,0.15000000315,0.01,1.0,0.01,0.7306168402167457,0.01,0.01,1.0,0.01,-2.758301,50.733579999999996
237,237,237,Shrewsbury,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.19935275504385586,0.01,0.01,0.01,0.4074074066666665,0.26761626532798616,0.01,0.16111112222777765,0.01,0.4666666698666666,0.19999999820000008,0.01,0.01,0.01,0.6043435503618488,0.01,0.01,0.01,0.01,-2.7553267999999997,52.7073
238,238,238,Penrith,0.01,0.01,0.01,0.01,0.01,0.7142857096938776,1.0,0.1329018327088489,0.01,0.01,0.7297297281519356,0.21296296333333334,0.1784107900287484,0.01,0.01,0.6511627949810708,0.0999999964,0.01,0.01,0.01,0.177777778,0.2465691028329677,0.01,0.01,0.01,0.01,-2.752708,54.6641
239,239,239,Kendal,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.7027026990211833,0.25,0.1784107900287484,0.01,0.01,0.41860465272038944,0.2333333289333333,0.01,0.01,0.01,0.13888888800000002,0.3896788212333167,0.01,0.01,0.01,0.01,-2.74629,54.32801
240,240,240,Street,0.01,0.01,0.01,0.01,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.2962962966666667,0.01,0.01,0.01,0.01,0.13333333253333335,0.25000000225,0.01,0.01,0.01,0.7053622731625712,0.01,0.01,0.01,0.01,-2.7429189999999997,51.12468
241,241,241,Glastonbury,0.01,0.01,0.01,0.01,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.2962962966666667,0.01,0.01,0.01,0.01,0.13333333253333335,0.0999999991,0.01,0.01,0.01,0.7306168402167457,0.01,0.01,0.01,0.01,-2.718454,51.14743
242,242,242,Hereford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1329018327088489,0.01,0.01,0.0405405388312637,0.6203703700000001,0.01,0.01,0.01,0.01,0.3999999976,0.2999999973,0.01,0.01,0.016666666,0.5748796867613011,0.01,0.01,0.01,0.01,-2.715974,52.0564
243,243,243,Ludlow,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.19935275504385586,0.01,0.01,0.01,0.4074074066666665,0.01,0.01,0.16111112222777765,0.01,0.2666666650666667,0.19999999820000008,0.01,0.01,0.01,0.6548528359982059,0.01,0.01,0.01,0.01,-2.7139129,52.36775
244,244,244,Preston,0.01,0.01,1.0,0.24583333886458336,0.01,0.01,0.19999999040000005,0.01,1.0,0.01,0.16216216018991966,0.5277777766666668,0.01,0.01,0.01,0.01,0.0999999964,0.01,0.01,0.01,0.05,0.5580432582158487,0.01,0.01,0.01,0.01,-2.70309,53.7632
245,245,245,Whitchurch,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.01,0.01,0.01,0.01,0.4629629633333334,0.26761626532798616,0.01,0.16111112222777765,0.01,0.4666666698666666,0.050000004050000005,0.01,0.01,0.01,0.6295982689440316,0.01,0.01,0.01,0.01,-2.682045,52.96872
246,246,246,Wells,0.01,0.01,0.01,0.01,0.01,0.01,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.2962962966666667,0.01,0.01,0.01,0.01,0.13333333253333335,0.0999999991,0.01,0.01,0.01,0.7811262773811111,0.01,0.01,0.01,0.01,-2.6445979,51.20935
247,247,247,Yeovil,0.01,0.01,0.01,0.01,0.01,0.5357142822704082,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.18518518666666667,0.01,0.01,0.01,0.01,0.13333333253333335,0.54999999955,0.01,0.01,0.01,0.7053622731625712,0.01,0.01,0.01,0.01,-2.633308,50.94206
248,248,248,Wigan,0.01,0.01,1.0,0.01,0.01,0.01,0.4000000047999999,0.01,0.01,0.01,0.01,0.5555555566666667,0.01,0.01,0.8055555531388888,0.01,0.13333333253333335,0.01,0.01,0.01,0.033333334,0.5875071218163965,0.01,0.01,0.01,0.01,-2.6325074,53.54506
249,249,249,Warrington,0.01,0.01,1.0,0.01,0.01,0.01,0.4000000047999999,0.01,0.01,0.01,0.01,0.5555555566666667,0.01,0.01,0.8055555531388888,0.01,0.13333333253333335,0.01,0.01,0.01,0.033333334,0.5875071218163965,0.01,0.01,0.01,0.01,-2.5969501,53.39004
250,250,250,Arbroath,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.4666666522666667,0.06645092233500698,0.01,0.01,0.5135135145653761,0.5277777766666668,0.01,0.01,0.01,0.13953488703082748,0.2000000048,0.050000004050000005,0.01,0.01,0.161111112,0.35600596414241203,0.01,0.01,0.01,0.01,-2.591543,56.55911
251,251,251,Bristol,0.01,0.01,0.01,0.01,0.01,0.01,0.5333333237333334,0.1329018327088489,0.01,0.01,0.01,0.2962962966666667,0.01,0.01,0.01,0.01,0.13333333253333335,0.0999999991,0.01,0.01,0.01,0.7811262773811111,0.01,0.01,0.01,0.01,-2.58791,51.45451
252,252,252,Guernsey,0.01,0.01,0.01,0.7375000018437501,0.01,0.5357142822704082,0.01,0.01,0.01,0.01,0.01,0.1481481466666667,0.01,0.01,0.01,0.01,0.01,0.6000000035999999,0.01,1.0,0.01,0.6632711260349363,0.01,0.01,1.0,0.01,-2.5852779999999997,49.46569
253,253,253,Ross-on-Wye,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0405405388312637,0.5277777766666668,0.01,0.01,0.01,0.01,0.3999999976,0.01,0.01,0.01,0.016666666,0.6843166995987537,0.01,0.01,0.01,0.01,-2.582446,51.91445
254,254,254,Jedburgh,0.01,0.01,0.01,0.01,0.01,0.1785714274234694,1.0,0.19935275504385586,0.01,0.01,0.4594594563038714,0.3055555566666667,0.01,0.01,0.01,0.2325581422606815,0.6000000024000001,0.15000000315,0.01,0.01,0.33888888799999994,0.21289624574206287,0.01,0.01,0.01,0.01,-2.5549369,55.47772
255,255,255,Sedbergh,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.1329018327088489,1.0,0.01,0.4864864854346238,0.21296296333333334,0.1784107900287484,0.01,0.01,0.41860465272038944,0.2333333289333333,0.01,0.01,0.01,0.072222222,0.5075339725794916,0.01,0.01,0.01,0.01,-2.5281740000000004,54.32363
256,256,256,Sedbergh,0.01,0.01,0.01,0.24583333886458336,0.01,0.01,0.19999999040000005,0.1329018327088489,1.0,0.01,0.4864864854346238,0.21296296333333334,0.1784107900287484,0.01,0.01,0.41860465272038944,0.2333333289333333,0.01,0.01,0.01,0.072222222,0.5075339725794916,0.01,0.01,0.01,0.01,-2.5281740000000004,54.32363
257,257,257,Nantwich,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5555555566666667,0.26761626532798616,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.066666666,0.6716892645436582,0.01,0.01,0.01,0.01,-2.524102,53.06718000000001
258,258,258,Banff,0.01,0.01,0.5172414517241452,0.01,0.01,0.2770935920610485,0.01,0.06874232272620405,0.01,0.01,0.7409133275872143,0.3352490433333334,0.01,0.01,0.01,0.01,0.06896551227586205,0.05172413405172414,0.01,0.01,0.22413793199999998,0.3686332476694993,0.01,0.01,0.01,0.01,-2.524038,57.666509999999995
259,259,259,Dunbar,0.01,0.01,0.01,0.01,0.01,0.2678571491709184,0.19999999040000005,0.06645092233500698,0.01,0.01,0.4324324320379839,0.6018518533333334,0.01,0.01,0.01,0.2325581422606815,0.6000000024000001,0.050000004050000005,0.01,0.01,0.25,0.2297326742875153,0.01,0.01,0.01,0.01,-2.516737,56.00209
260,260,260,Cinderford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0405405388312637,0.5277777766666668,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.016666666,0.7348259852351108,0.01,0.01,0.01,0.01,-2.5009579,51.8253
261,261,261,Banchory,0.01,0.01,0.5000001500000151,0.01,0.01,0.2678571491709184,0.2666666618666667,0.01,0.01,0.01,0.6891891893206719,0.4537037033333334,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.183333334,0.3728423926878644,0.01,0.01,0.01,0.01,-2.4909599,57.05386
262,262,262,Blackburn,0.01,0.01,1.0,0.01,0.01,0.5357142822704082,0.01,0.01,1.0,0.01,0.16216216018991966,0.4444444433333333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.5959252603251186,0.01,0.01,0.01,0.01,-2.487529,53.748580000000004
263,263,263,Market Drayton,0.01,0.01,0.01,0.4916666629791667,0.01,0.01,0.13333334293333324,0.01,0.01,0.01,0.01,0.4074074066666665,0.26761626532798616,0.01,0.16111112222777765,0.01,0.2666666650666667,0.050000004050000005,0.01,0.01,0.01,0.6801075545803886,0.01,0.01,0.01,0.01,-2.483485,52.90355
